cd_num,council_num,intakes,foster,pct_foster,median_income,pct_poverty,pct_white,pct_black,pct_hispanic,population,pct_intakes,pct_foster,children_poverty,LAT,LON
bronx-1,8,1421,65,4.6,21663,37.1,1.6,25.9,70.9,91497,1.5531,0.0710,43.3,40.8466508,-73.8785937
bronx-2,17,791,41,5.2,21663,38.5,1.3,22.1,74.8,52246,1.5140,0.0785,43.6,40.8025637,-73.8729733
bronx-3,16,1278,42,3.3,22145,39.6,1.2,57.7,39.4,79762,1.6023,0.0527,45.5,40.8466508,-73.8785937
bronx-4,16,1548,64,4.1,27166,39.6,1.5,63.1,32.3,146441,1.0571,0.0437,45.5,40.8466508,-73.8785937
bronx-5,14,1258,42,3.3,25600,36,1.4,28.7,66.8,128200,0.9813,0.0328,43.8,40.8466508,-73.8785937
bronx-6,15,1297,43,3.3,22145,38.5,7.5,25.9,64.2,83268,1.5576,0.0516,44.5,40.8090322,-73.79868
bronx-7,11,1075,28,2.6,31153,18.4,7.2,18.8,65.3,139286,0.7718,0.0201,23.9,40.8953156,-73.8386462
bronx-8,11,490,14,2.9,55027,18.4,38.5,11.2,43.4,101731,0.4817,0.0138,23.9,40.8466508,-73.8785937
bronx-9,18,1662,50,3,36711,29.2,2.8,30.8,57.7,172298,0.9646,0.0290,34.7,40.8466508,-73.8785937
bronx-10,13,655,19,2.9,53541,15.4,34.5,22.2,36.6,120392,0.5441,0.0158,19.5,40.8931123,-73.8337421
bronx-11,13,621,18,2.9,46658,15.4,27.4,20.3,42.2,113232,0.5484,0.0159,19.5,40.9087958,-73.845902
bronx-12,12,1462,45,3.1,47034,17.6,7.1,65,22.9,152344,0.9597,0.0295,21.7,40.9019962,-73.8621471
brooklyn-1,33,486,10,2.1,48627,29.3,60.8,5.2,27.2,173083,0.2808,0.0058,34.4,40.6910754,-73.9841989
brooklyn-2,33,395,15,3.8,73440,29.3,46.1,28,14.2,99617,0.3965,0.0151,34.4,40.6906105,-73.8797778
brooklyn-3,36,1000,46,4.6,36321,30,10.9,64.6,19.9,152985,0.6537,0.0301,37.1,40.6526006,-73.9497211
brooklyn-4,34,646,23,3.6,38075,26,8.5,20.1,65.4,112634,0.5735,0.0204,32.5,40.6526006,-73.9497211
brooklyn-5,42,1880,36,1.9,33980,31.8,3.4,51.6,36.7,182896,1.0279,0.0197,35.5,40.6526006,-73.9497211
brooklyn-6,39,363,19,5.2,92780,14.7,62.7,10.5,18.2,104709,0.3467,0.0181,16.1,40.6526006,-73.9497211
brooklyn-7,38,501,9,1.8,43233,29.9,23.3,2.9,45.5,126230,0.3969,0.0071,35.6,40.6526006,-73.9497211
brooklyn-8,35,598,23,3.8,40674,21.6,16.7,65.5,11.9,96317,0.6209,0.0239,25.8,40.6526006,-73.9497211
brooklyn-9,40,422,12,2.8,41543,22.4,19.1,68,9.3,98429,0.4287,0.0122,24.7,40.6877712,-73.8762318
brooklyn-10,43,389,9,2.3,55922,15.7,61.5,1.4,14.4,124491,0.3125,0.0072,18.4,40.6756128,-73.9708948
brooklyn-11,47,662,10,1.5,44906,20.5,49.9,0.7,13.3,181981,0.3638,0.0055,23.2,40.7148109,-73.9511915
brooklyn-12,44,483,0,0,39574,27.4,65.4,2.3,13,191382,0.2524,0.0000,32,40.6526006,-73.9497211
brooklyn-13,48,706,19,2.7,31069,17.8,57,12.9,16.7,104278,0.6770,0.0182,17.4,40.6526006,-73.9497211
brooklyn-14,45,682,17,2.5,43488,13.7,37.1,35.4,15.7,160664,0.4245,0.0106,16.7,40.6898368,-73.9821089
brooklyn-15,48,503,7,1.4,50910,17.8,71.9,3.3,8.2,159650,0.3151,0.0044,17.4,40.6787966,-73.9128781
